fonte,jurisdicao,url,arquivo_local,status_http,content_type,content_length,last_modified,etag,sha256,eh_gov_au,valido,observacao
Home Affairs SkillSelect,federal,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,200,text/html; charset=utf-8,1323355,,,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true,true,Pagina oficial vigente; resultados por ocupacao em HTML (ultimo round 4 Jun 2026). Sem PDF/XLSX ligado.
Home Affairs SkillSelect,federal,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/previous-rounds,dados/federal/previous-rounds.html,200,text/html; charset=utf-8,1901092,,,fb289db304f8d9bc99549f72f77747b8c79fb01ba5bbe40e1b3a74482eecc6a2,true,true,Historico oficial de rounds anteriores (HTML). Sem PDF/XLSX ligado.
ACT Migration,ACT,https://www.act.gov.au/migration/resources/library-guidelines-and-invitations,dados/estados/act/library-guidelines-and-invitations.html,200,text/html; charset=utf-8,35669,,,47f2c3bc65c9a228a66471d9b76270afca6d4d02b73bb3876518746e0f58b27c,true,true,Biblioteca oficial; aponta o PDF canonico 2025-26 Invitation round rankings.
ACT Migration,ACT,https://www.act.gov.au/migration/resources/canberra-matrix-invitation-round,dados/estados/act/canberra-matrix-invitation-round.html,200,text/html; charset=utf-8,34337,,,b2da3ad6cec76b10642566ded151ea4eca6405ea11b162e2db22c8596f5495db,true,true,Pagina Canberra Matrix - Invitation Round (HTML). Rankings no PDF da biblioteca.
ACT Migration,ACT,https://www.act.gov.au/__data/assets/pdf_file/0009/2920554/2025-26-Invitation-round-rankings.pdf,dados/estados/act/2025-26-Invitation-round-rankings.pdf,200,application/pdf,776507,,,de40dae177198fcf81339eafc4808a24a9bce4d4d92fc76815af09ac50df5b9d,true,true,Documento canonico vigente 2025-26 (um PDF por ano-programa). DOCX equivalente nao baixado (duplicata do mesmo conteudo).
WA Migration SNMP,WA,https://migration.wa.gov.au/our-services-support/state-nominated-migration-program,dados/estados/wa/state-nominated-migration-program.html,200,text/html; charset=utf-8,323200,"Wed, 12 Aug 2026 02:16:43 GMT","""1786501003""",1d1854e4face808125d0ee08babaa4d4990c7fd5fc6d35330305a65296f62867,true,true,Pagina oficial SNMP. Abas Current / 2024-25 / 2023-24 (tabelas HTML agregadas). Unico PDF de convite por ocupacao ligado: Last invited EOI May 2026.
WA Migration SNMP,WA,https://migration.wa.gov.au/sites/default/files/2026-05/Last%20invited%20expression%20of%20interest%20-%20Priority%20trade%20occupations%20-%20May%202026.pdf,dados/estados/wa/Last invited expression of interest - Priority trade occupations - May 2026.pdf,200,application/pdf,328515,"Thu, 21 May 2026 06:27:59 GMT","""6a0ea5ef-50343""",ed6f2aa13c044fad12299ef5cb42c4ac6cde8ffa41580bfa600a0a32bcc1164c,true,true,"PDF vigente ligado junto a Current invitation round (last invited EOI por ocupacao, trades prioritarias, May 2026)."
SA Migration,SA,https://migration.sa.gov.au/news?category=invitations-issued,dados/estados/sa/news-invitations-issued-index.html,200,text/html; charset=UTF-8,221253,,,363b666d1989b646dbad736cad7580c1d6ae64ce25e71edf8bcd7d17c1d4e8cd,true,true,Indice oficial Invitations issued (page 1 of 1). Lista 7 atualizacoes 2025-26.
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-late-may-2026,dados/estados/sa/invitations-issued-late-may-2026.html,200,text/html; charset=UTF-8,212836,,,bd4edd4b5f2a14d0955dc261fd74f0668da520e64c415542a2b31b3ecbb41875,true,true,"Atualizacao oficial mais recente (Late May 2026). HTML, sem PDF."
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-may-2026,dados/estados/sa/invitations-issued-may-2026.html,200,text/html; charset=UTF-8,213037,,,08b3c0825cc6914a957cc81cafead8e894fb8d004bc4b96cc529501f930628de,true,true,Atualizacao oficial May 2026 (ano-programa 2025-26).
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-april-2026,dados/estados/sa/invitations-issued-april-2026.html,200,text/html; charset=UTF-8,212640,,,3e4d55276f7c4ab26e78d479c1b1163c48f037f26a5ecbbd13a7a85e1d497d42,true,true,Atualizacao oficial April 2026.
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-march-2026,dados/estados/sa/invitations-issued-march-2026.html,200,text/html; charset=UTF-8,212905,,,5be6373ec45589ca13fcd1e7bd508bafc950a22d88ab9f938769460f8b405136,true,true,Atualizacao oficial March 2026.
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-feb-2026,dados/estados/sa/invitations-issued-feb-2026.html,200,text/html; charset=UTF-8,207086,,,cecf922a9324c75a6dc7e8faa44c0feecd72f31e523edfd03fd3ccf9dba1bc93,true,true,Atualizacao oficial Feb 2026.
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-jan-2026,dados/estados/sa/invitations-issued-jan-2026.html,200,text/html; charset=UTF-8,207072,,,ed59da576096cc50432b033328f2364b23bdcd830ef56083f988033dd704d43a,true,true,Atualizacao oficial Jan 2026.
SA Migration,SA,https://migration.sa.gov.au/news/invitations-issued-dec-2025,dados/estados/sa/invitations-issued-dec-2025.html,200,text/html; charset=UTF-8,206923,,,8a60f53ba304b2f5ba4b3651f38ea025bcc66006864a503631506660868038f3,true,true,Atualizacao oficial Dec 2025 (primeira listada no indice 2025-26).
NSW Government,NSW,https://www.nsw.gov.au/visas-and-migration/skilled-visas/skilled-nominated-visa-subclass-190,dados/estados/nsw/skilled-nominated-visa-subclass-190.html,200,text/html; charset=UTF-8,136041,"Tue, 11 Aug 2026 14:34:04 GMT","""1786458844""",70feebbe9ac864755b212a3101ca2d404f095adeaf20107f4d362ee70fba06e9,true,true,"NOT_PUBLISHED: pagina oficial 190 descreve o processo de convite, sem PDF/tabela de resultados por ocupacao."
Live in Melbourne (VIC),VIC,https://liveinmelbourne.vic.gov.au/migrate/skilled-migration-visas/registration-of-interest-for-victorian-state-visa-nomination,dados/estados/vic/registration-of-interest.html,200,text/html; charset=utf-8,106732,,,97441d5c3b601127caa1e30996e0576145238c4baf6eed86dec19e61eaa4925d,true,true,"NOT_PUBLISHED: explica invitation rounds de ROI, sem PDF/resultados por ocupacao."
Migration Queensland,QLD,https://www.migration.qld.gov.au/visa-options/skilled-visas/registering-your-interest-in-queenslands-migration-program,dados/estados/qld/registering-your-interest.html,200,text/html; charset=utf-8,45675,,,4e0f7859a9a8fe9b96803e6551ca5759165c7dcfa4837a2dadfe87e5066e3764,true,true,"NOT_PUBLISHED: explica ROI/convites; occupation lists sao elegibilidade, nao resultados de convite. Sem PDF de invitation-by-occupation."
Migration Tasmania,TAS,https://www.migration.tas.gov.au/,dados/estados/tas/migration-tas-home.html,200,text/html; charset=utf-8,50129,,,ae37d72f6e2534bf375b5ce78921e004b3da32b473b01bcf4921714d5195e8f7,true,true,Pagina principal oficial. Nao liga PDF de invitation-by-occupation.
Migration Tasmania,TAS,https://www.migration.tas.gov.au/news/processing_times_and_allocation_usage,dados/estados/tas/processing-times-and-allocation-usage.html,200,text/html; charset=utf-8,22694,,,99f705dcf1f941eaec6a3ab7950613bcb9a587fd243bd77a6cbd70d2dd0a3e3b,true,true,"NOT_PUBLISHED por ocupacao: pagina oficial de processing times/allocation (totais 190/491), sem breakdown por ocupacao e sem PDF."
Migration Tasmania,TAS,https://www.migration.tas.gov.au/skilled_migration/document_library,dados/estados/tas/document-library.html,200,text/html; charset=utf-8,23647,,,32d86b46a23a1ecf5c295e984c8e7b8ef89343ee834e1e1e2971e9a024a7f719,true,true,"Biblioteca oficial: PDFs de programa/checklist/ocupacoes elegiveis, NAO resultados de convite. Nao baixados."
NT.GOV.AU,NT,https://nt.gov.au/,dados/estados/nt/nt-gov-home.html,200,text/html; charset=utf-8,63832,,,76024416f0c8f665b133538fb00d5d9dd3e2cfb8284fab3f94060cbc6df1b11c,true,true,Homepage oficial. Sem documento de invitation-by-occupation.
NT.GOV.AU,NT,https://nt.gov.au/employ/for-employers-in-nt/employ-people-from-overseas/overseas-workers-and-your-business,dados/estados/nt/overseas-workers-and-your-business.html,200,text/html; charset=utf-8,44731,,,1851a7769afbe92e38ddd82f1285b245942527486c2a7a3e1bcc3c97869e9ef9,true,true,NOT_PUBLISHED: unica pagina .gov.au encontrada sobre workers/migration; aponta nomination para theterritory.com.au (fora de .gov.au). Sem PDF de convites.
theterritory.nt.gov.au,NT,https://theterritory.nt.gov.au/,,200,text/html; charset=utf-8,146783,,,,false,false,INVALID: redirect left .gov.au -> https://australiasnorthernterritory.com.au/
